termID,PathTerm,ThesXrefType
2031290,"Authorities\Attributes\Objects\Subject Specific\Portrait male\Grant, Ulysses S.",Subject Specific
2031291,"Authorities\Attributes\Objects\Subject Specific\Portrait male\Grant, Ulysses S.\head",Subject Specific
2031294,"Authorities\Attributes\Objects\Subject Specific\Portrait male\Gregory, John\head",Subject Specific
2031296,"Authorities\Attributes\Objects\Subject Specific\Portrait male\Hamilton, Samuel W.\bust",Subject Specific
2031300,"Authorities\Attributes\Objects\Subject Specific\Portrait male\Jefferson, Thomas\head",Subject Specific
7509,Art & Architecture Thesaurus\ACTIVITIES FACET\Disciplines\disciplines,Loan Status
7678,Art & Architecture Thesaurus\ACTIVITIES FACET\Disciplines\disciplines\social sciences\planning\regional planning,Loan Status
2027390,Authorities\Attributes\Objects,Mark Type
2027400,Authorities\Attributes\Object - Constituent Cross References\Object related,Object - Constituent Cross References
2027404,Authorities\Attributes\Constituents\Occupation\artist,Occupation
2027405,Authorities\Attributes\Constituents\Occupation\artist\sculptor,Occupation
2027407,Authorities\Attributes\Constituents\Project\SAAM permanent collection,Project
2027408,Authorities\Attributes\Constituents\Project\Inventory of American Sculpture,Project
2027409,Authorities\Attributes\Constituents\Occupation\artist\painter,Occupation
2027410,Authorities\Attributes\Constituents\Occupation\designer,Occupation
2027411,Authorities\Attributes\Constituents\Occupation\designer\graphic designer,Occupation
2027412,Authorities\Attributes\Constituents\Project\Inventory of American Paintings,Project
2027413,Authorities\Attributes\Constituents\Project\Slide and Photo Archives,Project
2027414,Authorities\Attributes\Constituents\Project\Peter A. Juley Collection,Project
2027415,Authorities\Attributes\Constituents\Occupation\artist\printmaker,Occupation
2027416,Authorities\Attributes\Constituents\Occupation\artist\photographer,Occupation
2027418,Authorities\Attributes\Constituents\Gender\Female,Ethnicity
2027418,Authorities\Attributes\Constituents\Gender\Female,Gender
2027419,Authorities\Attributes\Constituents\Occupation\artist\draftsman,Occupation
2027421,Authorities\Attributes\Constituents\Ethnicity\Latino,Ethnicity
2027422,Authorities\Attributes\Constituents\Project\Smithsonian Art Index,Project
2027423,Authorities\Attributes\Constituents\Occupation\craftsman,Occupation
2027424,Authorities\Attributes\Constituents\Occupation\artist\collagist,Occupation
2027425,Authorities\Attributes\Constituents\Occupation\publisher,Occupation
2027426,Authorities\Attributes\Constituents\Occupation\printer,Occupation
2027427,Authorities\Attributes\Constituents\Occupation\craftsman\basket maker,Occupation
2027428,Authorities\Attributes\Constituents\Occupation\artist\folk artist,Occupation
2027429,Authorities\Attributes\Constituents\Ethnicity\Native American,Ethnicity
2027430,Authorities\Attributes\Constituents\Ethnicity\Native American\Mohawk,Ethnicity
2027431,Authorities\Attributes\Constituents\Project\Art Exhibition Catalogue Index,Project
2027432,Authorities\Attributes\Constituents\Occupation\craftsman\metalworker,Occupation
2027433,Authorities\Attributes\Constituents\Occupation\craftsman\textile worker,Occupation
2027434,Authorities\Attributes\Constituents\Occupation\designer\fashion designer,Occupation
2027435,Authorities\Attributes\Constituents\Occupation\designer\furniture designer,Occupation
2027436,Authorities\Attributes\Constituents\Ethnicity\African American,Ethnicity
2027437,Authorities\Attributes\Constituents\Occupation\artist\pastelist,Occupation
2027438,Authorities\Attributes\Constituents\Ethnicity\Native American\Aleut,Ethnicity
2027439,Authorities\Attributes\Constituents\Occupation\designer\interior designer,Occupation
2027440,Authorities\Attributes\Constituents\Occupation\craftsman\ceramist,Occupation
2027441,Authorities\Attributes\Constituents\Occupation\designer\theater designer,Occupation
2027442,Authorities\Attributes\Constituents\Ethnicity\Native American\Navajo,Ethnicity
2027443,Authorities\Attributes\Constituents\Occupation\architect,Occupation
2027444,Authorities\Attributes\Constituents\Ethnicity\Asian American,Ethnicity
2027445,Authorities\Attributes\Constituents\Occupation\designer\costume designer,Occupation
2027446,Authorities\Attributes\Constituents\Ethnicity\Native American\Kiowa,Ethnicity
2027447,Authorities\Attributes\Constituents\Occupation\designer\industrial designer,Occupation
2027448,Authorities\Attributes\Constituents\Ethnicity\Native American\Plains,Ethnicity
2027450,Authorities\Attributes\Constituents\Occupation\artist\silhouettist,Occupation
2027451,Authorities\Attributes\Constituents\Occupation\artist\caricaturist,Occupation
2027452,Authorities\Attributes\Constituents\Occupation\artist\cartoonist,Occupation
2027453,Authorities\Attributes\Constituents\Occupation\founder,Occupation
2027454,Authorities\Attributes\Constituents\Occupation\craftsman\woodworker,Occupation
2027455,Authorities\Attributes\Constituents\Occupation\craftsman\papermaker,Occupation
2027456,Authorities\Attributes\Constituents\Occupation\designer\commercial designer,Occupation
2027457,Authorities\Attributes\Constituents\Occupation\craftsman\glassworker,Occupation
2027458,Authorities\Attributes\Constituents\Ethnicity\Native American\Ojibwa,Ethnicity
2027459,Authorities\Attributes\Constituents\Occupation\typographer,Occupation
2027460,Authorities\Attributes\Constituents\Occupation\filmmaker,Occupation
2027462,Authorities\Attributes\Constituents\Occupation\artist\conceptual artist,Occupation
2027463,Authorities\Attributes\Constituents\Occupation\artist\environmental artist,Occupation
2027464,Authorities\Attributes\Constituents\Ethnicity\Native American\Cochiti,Ethnicity
2027465,Authorities\Attributes\Constituents\Ethnicity\Native American\Acoma,Ethnicity
2027466,Authorities\Attributes\Constituents\Ethnicity\Native American\Pueblo,Ethnicity
2027467,Authorities\Attributes\Constituents\Occupation\bookbinder,Occupation
2027468,Authorities\Attributes\Constituents\Occupation\manufacturer,Occupation
2027469,Authorities\Attributes\Constituents\Project\SAAM owns no works by these artists,Project
2027470,Authorities\Attributes\Constituents\Ethnicity\Latino\Chicano,Ethnicity
2027471,Authorities\Attributes\Constituents\Ethnicity\Native American\Cheyenne,Ethnicity
2027472,Authorities\Attributes\Constituents\Occupation\author,Occupation
2027473,Authorities\Attributes\Constituents\Ethnicity\Native American\Zia,Ethnicity
2027475,Authorities\Attributes\Constituents\Affiliation\Photo League,Affiliation
2027476,Authorities\Attributes\Constituents\Ethnicity\Native American\Chippewa,Ethnicity
2027477,Authorities\Attributes\Constituents\Ethnicity\Native American\Tewa,Ethnicity
2027478,Authorities\Attributes\Constituents\Ethnicity\Native American\San Ildefonso,Ethnicity
2027479,Authorities\Attributes\Constituents\Ethnicity\Native American\Zuni,Ethnicity
2027480,Authorities\Attributes\Constituents\Ethnicity\Native American\Pawnee,Ethnicity
2027481,Authorities\Attributes\Constituents\Ethnicity\Native American\Tlingit,Ethnicity
2027482,Authorities\Attributes\Constituents\Occupation\landscape architect,Occupation
2027483,Authorities\Attributes\Constituents\Ethnicity\Native American\Mission,Ethnicity
2027484,Authorities\Attributes\Constituents\Ethnicity\Native American\Hopi,Ethnicity
2027485,Authorities\Attributes\Constituents\Ethnicity\Native American\Jemez,Ethnicity
2027486,Authorities\Attributes\Constituents\Ethnicity\Latino\Puerto Rican,Ethnicity
2027487,Authorities\Attributes\Constituents\Ethnicity\Native American\Jicarella Apache,Ethnicity
2027488,Authorities\Attributes\Constituents\Ethnicity\Native American\Tesuque,Ethnicity
2027489,Authorities\Attributes\Constituents\Ethnicity\Native American\Brule Sioux,Ethnicity
2027490,Authorities\Attributes\Constituents\Ethnicity\Native American\Seneca/Iroquois,Ethnicity
2027491,Authorities\Attributes\Constituents\Occupation\artist\performance artist,Occupation
2027492,Authorities\Attributes\Constituents\Occupation\fabricator,Occupation
2027493,Authorities\Attributes\Constituents\Ethnicity\Native American\Choctaw,Ethnicity
2027494,Authorities\Attributes\Constituents\Occupation\caster,Occupation
2027495,Authorities\Attributes\Constituents\Occupation\craftsman\mosaicist,Occupation
2027496,Authorities\Attributes\Constituents\Ethnicity\Native American\Apache,Ethnicity
2027497,Authorities\Attributes\Constituents\Ethnicity\Latino\Cuban American,Ethnicity
2027499,Authorities\Attributes\Constituents\Occupation\retailer,Occupation
2027501,Authorities\Attributes\Constituents\Ethnicity\Native American\Chumash,Ethnicity
2027502,Authorities\Attributes\Constituents\Ethnicity\Native American\Ojibway,Ethnicity
2027503,Authorities\Attributes\Objects\Folk Art,Folk Art
2027508,Authorities\Attributes\Objects\Process,Process
2027509,Authorities\Attributes\Objects\Subject General,Subject General
2027510,Authorities\Attributes\Objects\Subject Specific,Subject Specific
2027511,Authorities\Attributes\Objects\Support,Support
2027512,Authorities\Attributes\Objects\Medium\METAL,Medium
2027513,Authorities\Attributes\Objects\Medium\METAL\BRONZE,Medium
2027514,Authorities\Attributes\Objects\Subject General\Group,Subject General
2027515,Authorities\Attributes\Objects\Subject Specific\Mythology,Subject Specific
2027516,Authorities\Attributes\Objects\Subject Specific\Mythology\classical,Subject Specific
2027517,Authorities\Attributes\Objects\Subject Specific\Mythology\classical\Cupid,Subject Specific
2027518,Authorities\Attributes\Objects\Subject Specific\Mythology\classical\Psyche,Subject Specific
2027519,Authorities\Attributes\Objects\Subject Specific\Figure group,Subject Specific
2027519,Authorities\Attributes\Objects\Subject Specific\Figure group,Tools and Equipment
2027520,Authorities\Attributes\Objects\Mark Type\signature,Mark Type
2027521,Authorities\Attributes\Objects\Mark Type\date,Mark Type
2027522,Authorities\Attributes\Objects\Medium\PAINT,Medium
2027523,Authorities\Attributes\Objects\Medium\PAINT\GOUACHE,Medium
2027524,Authorities\Attributes\Objects\Subject General\Figure,Subject General
2027525,Authorities\Attributes\Objects\Subject Specific\Figure male,Subject Specific
2027527,Authorities\Attributes\Objects\Subject Specific\Ethnic,Subject Specific
2027528,Authorities\Attributes\Objects\Subject Specific\Ethnic\Iranian,Subject Specific
2027529,Authorities\Attributes\Objects\Subject Specific\Dress,Subject Specific
2027530,Authorities\Attributes\Objects\Subject Specific\Dress\ethnic,Subject Specific
2027531,Authorities\Attributes\Objects\Subject Specific\Dress\ethnic\Persian dress,Subject Specific
2027532,Authorities\Attributes\Objects\Subject Specific\Still life,Subject Specific
2027533,Authorities\Attributes\Objects\Subject Specific\Still life\weapon,Subject Specific
2027534,Authorities\Attributes\Objects\Subject Specific\Still life\weapon\sword,Subject Specific
2027535,Authorities\Attributes\Objects\Subject Specific\Still life\weapon\grenade,Subject Specific
2027536,Authorities\Attributes\Objects\Support\PAPER,Medium
2027536,Authorities\Attributes\Objects\Support\PAPER,Support
2027536,Authorities\Attributes\Objects\Support\PAPER,Tools and Equipment
2027537,Authorities\Attributes\Objects\Mark Type\not dated,Mark Type
2027537,Authorities\Attributes\Objects\Mark Type\not dated,Subject Specific
2027538,Authorities\Attributes\Objects\Mark Type\number,Mark Type
2027539,Authorities\Attributes\Objects\Mark Type\variant mark,Mark Type
2027540,Authorities\Attributes\Objects\Medium\INK,Medium
2027543,Authorities\Attributes\Objects\Subject Specific\State of being\emotion\love,Subject Specific
2027544,Authorities\Attributes\Objects\Support\PAPERBOARD,Support
2027545,Authorities\Attributes\Objects\Mark Type\title,Mark Type
2027545,Authorities\Attributes\Objects\Mark Type\title,Tools and Equipment
2027546,Authorities\Attributes\Objects\Medium\CRAYON,Medium
2027547,Authorities\Attributes\Objects\Medium\CRAYON\PASTEL,Medium
2027548,Authorities\Attributes\Objects\Subject Specific\Figure female,Subject Specific
2027549,Authorities\Attributes\Objects\Subject Specific\State of being\mood,Subject Specific
2027550,Authorities\Attributes\Objects\Subject Specific\State of being\mood\meditation,Subject Specific
2027551,Authorities\Attributes\Objects\Subject Specific\Dress\royal,Subject Specific
2027552,Authorities\Attributes\Objects\Subject Specific\Performing arts,Subject Specific
2027555,Authorities\Attributes\Objects\Mark Type\copyright,Mark Type
2027556,Authorities\Attributes\Objects\Medium\PAINT\OIL,Medium
2027557,Authorities\Attributes\Objects\Support\FABRIC,Support
2027558,Authorities\Attributes\Objects\Support\FABRIC\CANVAS,Support
2027559,Authorities\Attributes\Objects\Medium\CHARCOAL,Medium
2027560,Authorities\Attributes\Objects\Process\GELATIN SILVER,Process
2027561,Authorities\Attributes\Objects\Subject General\Landscape,Subject General
2027562,Authorities\Attributes\Objects\Subject Specific\Cityscape,Subject Specific
2027563,Authorities\Attributes\Objects\Subject Specific\Cityscape\New York,Subject Specific
2027564,Authorities\Attributes\Objects\Subject Specific\Cityscape\New York\Brooklyn,Subject Specific
2027565,Authorities\Attributes\Objects\Subject Specific\Cityscape\New York\New York,Subject Specific
2027566,Authorities\Attributes\Objects\Subject Specific\Architecture,Subject Specific
2027567,Authorities\Attributes\Objects\Subject Specific\Architecture\bridge,Subject Specific
2027568,Authorities\Attributes\Objects\Subject Specific\Architecture\bridge\Brooklyn Bridge,Subject Specific
2027569,Authorities\Attributes\Objects\Subject Specific\Cityscape\street,Subject Specific
2027570,Authorities\Attributes\Objects\Subject Specific\Cityscape\street\Dock Street,Subject Specific
2027571,Authorities\Attributes\Objects\Subject Specific\Cityscape\street\Water Street,Subject Specific
2027572,Authorities\Attributes\Objects\Subject Specific\Architecture\industry,Subject Specific
2027575,Authorities\Attributes\Objects\Subject Specific\Monument,Subject Specific
2027576,Authorities\Attributes\Objects\Subject Specific\Monument\fountain,Subject Specific
2027577,Authorities\Attributes\Objects\Subject Specific\Monument\statue,Subject Specific
2027578,Authorities\Attributes\Objects\Subject Specific\Cityscape\street\5th Avenue,Subject Specific
2027579,Authorities\Attributes\Objects\Subject Specific\Cityscape\street\58th Street,Subject Specific
